"","Edad","Hombres","Mujeres"
"1","0-4",10139.0474377833,9762.92128906909
"2","5-9",10864.1223433261,10634.0927308045
"3","10-14",11946.9842108799,11647.0420736489
"4","15-19",12864.453992221,12442.0110191533
"5","20-24",12376.8411182435,12087.0661679641
"6","25-29",10884.3119290581,11156.2579900479
"7","30-34",9935.77643840186,10680.5393712472
"8","35-39",9559.92511020972,10562.1410711147
"9","40-44",9159.50874426944,10383.855985593
"10","45-49",8607.45171273892,9893.38446350234
"11","50-54",7613.28650819942,8742.90805609001
"12","55-59",6297.46307401136,7205.48049882536
"13","60-64",5033.45749298665,5723.43884120031
"14","65-69",3723.82219807866,4275.65392511307
"15","70-74",2511.19692501569,3029.34615861777
"16","75-79",1589.16417228622,1938.38146278208
"17","80-84",1031.10652084776,1309.25765468614
"18","85 y más",775.080071442305,1124.22124054028
